expiration,strike,right,bid,ask,last,volume,delta,gamma,theta,vega,iv
20260814,387.5,C,15.0,16.85,19.6,2.0,0.48452724831979127,0.008913969558811498,-0.5483492038201749,0.332527652607741,0.5396411704169941
20260814,387.5,P,18.85,21.0,,2.0,,,,,
20260814,390.0,C,14.2,15.6,15.5,13.0,0.4607610138254709,0.008931828489509477,-0.5479152063610062,0.3338719705978832,0.5379843242079683
20260814,390.0,P,21.15,22.45,21.11,10.0,,,,,
20260814,392.5,C,13.15,14.5,14.25,2.0,,,,,
20260814,392.5,P,22.65,23.9,22.8,5.0,-0.56529256392214,-0.00897321610886052,-0.48363584647427516,0.3217344439483547,0.5364307296049756
20260814,395.0,C,12.25,13.75,14.56,1.0,,,,,
20260814,395.0,P,23.6,25.0,,5.0,,,,,
20260814,397.5,C,11.3,12.75,,0.0,,,,,
20260814,397.5,P,25.7,26.95,24.5,1.0,-0.6052894892172319,-0.008795483563962796,-0.48417058268614355,0.3239863588800347,0.5336217687388046
20260814,400.0,C,10.4,11.35,11.0,15.0,,,,,
20260814,400.0,P,27.3,28.5,27.5,3.0,,,,,
20260814,402.5,C,9.6,10.9,,0.0,,,,,
20260814,402.5,P,28.35,30.55,,0.0,,,,,
20260814,405.0,C,8.9,9.9,10.0,12.0,0.33434254326321483,0.008286535177307163,-0.4876794547402543,0.3035113114600332,0.5301028587590852
20260814,405.0,P,29.9,32.2,,0.0,-0.6676427078519903,-0.008377754420339455,-0.44517318647869075,0.3023644211649774,0.5301028587590852
20260814,407.5,C,8.15,9.2,10.8,1.0,0.31551035096893665,0.00811518364010065,-0.48800873295861447,0.3047760084490516,0.5291002311058782
20260814,407.5,P,31.65,33.45,,2.0,,,,,
20260814,410.0,C,7.5,8.25,8.9,21.0,,,,,
20260814,410.0,P,33.5,35.65,31.5,4.0,-0.707741276416129,-0.008013384902230202,-0.3926697973594955,0.27530541460391333,0.5281764809758436
20260814,412.5,C,6.9,7.55,,0.0,0.27821054215658525,0.007681392574559091,-0.4346948387032521,0.2724505495538114,0.5273280157744988
20260814,412.5,P,35.0,37.7,,0.0,-0.725596364588542,-0.0077757387325791604,-0.3923543156216738,0.2707218252115311,0.5273280157744988
20260814,415.0,C,6.3,6.95,7.47,22.0,,,,,
20260814,415.0,P,37.0,39.65,,1.0,,,,,
20260814,417.5,C,5.7,6.4,6.83,2.0,0.24281099527157893,0.007190912248271553,-0.43540509251387594,0.2746228705125322,0.5258439166899703
20260814,417.5,P,38.55,41.9,,0.0,,,,,
20260814,420.0,C,5.2,5.85,6.2,8.0,0.22630604646192018,0.006929740573616101,-0.3727160123705193,0.23486164404615817,0.5252026629243078
20260814,420.0,P,40.55,43.75,,8.0,-0.7799131163420314,-0.0070095144471562,-0.33073776511581343,0.2324764488501856,0.5252026629243078
20260814,422.5,C,4.75,5.35,,0.0,,,,,
20260814,422.5,P,42.5,45.8,,0.0,-0.7934662732316434,-0.006761168788882511,-0.33040488802208756,0.23275611360116244,0.5246255598052597
20260814,425.0,C,4.35,4.9,4.5,7.0,,,,,
20260814,425.0,P,44.65,47.55,,1.0,-0.8087346170708668,-0.006485071424120007,-0.3291515545302275,0.2325161397249076,0.5241108925302611
20260814,427.5,C,3.95,4.5,,0.0,,,,,
20260814,427.5,P,46.7,50.4,,0.0,,,,,
20260821,340.0,C,47.95,50.3,50.0,2.0,,,,,
20260821,340.0,P,5.45,5.95,5.65,128.0,,,,,
20260821,345.0,C,44.05,47.1,,0.0,,,,,
20260821,345.0,P,6.45,6.95,5.7,5.0,,,,,
20260821,350.0,C,40.6,43.25,,3.0,0.7657324718163472,0.0057392330335658435,-0.35926532354772434,0.2901808677918041,0.5447306866208514
20260821,350.0,P,7.6,8.25,8.0,268.0,-0.23499616035787083,-0.005763612759472123,-0.3195167170066977,0.2908139516413346,0.5447306866208514
20260821,355.0,C,36.9,39.55,,0.0,0.7344830534218987,0.006181021357564385,-0.40021599630549076,0.3301521045613427,0.539703331820504
20260821,355.0,P,8.9,9.5,8.85,10.0,-0.2664126694575904,-0.006209308902696119,-0.35987055365281684,0.33036156543856166,0.539703331820504
20260821,360.0,C,33.45,36.0,,0.0,,,,,
20260821,360.0,P,10.4,11.15,10.7,90.0,,,,,
20260821,365.0,C,30.25,31.8,,0.0,,,,,
20260821,365.0,P,11.5,12.75,,5.0,,,,,
20260821,370.0,C,27.1,29.35,,1.0,,,,,
20260821,370.0,P,13.95,14.7,14.1,224.0,,,,,
20260821,375.0,C,24.05,25.5,,1.0,,,,,
20260821,375.0,P,16.0,17.05,16.23,128.0,,,,,
20260821,377.5,C,22.7,24.9,,0.0,,,,,
20260821,377.5,P,16.6,17.95,16.35,6.0,,,,,
20260821,380.0,C,21.7,22.55,23.82,10.0,,,,,
20260821,380.0,P,18.4,19.1,18.45,151.0,,,,,
20260821,382.5,C,20.5,21.5,,0.0,,,,,
20260821,382.5,P,19.65,20.55,19.0,1.0,,,,,
20260821,385.0,C,19.25,20.15,20.0,4.0,,,,,
20260821,385.0,P,20.95,21.8,20.69,20.0,,,,,
20260821,387.5,C,18.15,19.25,,0.0,,,,,
20260821,387.5,P,22.25,23.05,22.4,3.0,,,,,
20260821,390.0,C,17.05,17.75,17.9,37.0,,,,,
20260821,390.0,P,23.5,24.5,24.0,95.0,,,,,
20260821,392.5,C,16.0,16.85,16.5,1.0,,,,,
20260821,392.5,P,23.8,26.0,,50.0,,,,,
20260821,395.0,C,14.95,16.35,17.65,3.0,,,,,
20260821,395.0,P,25.8,27.45,24.2,1.0,,,,,
20260821,397.5,C,13.95,14.65,,0.0,,,,,
20260821,397.5,P,26.7,29.55,,12.0,,,,,
20260821,400.0,C,13.05,13.75,13.59,111.0,,,,,
20260821,400.0,P,29.6,30.3,29.0,53.0,,,,,
20260821,402.5,C,12.15,13.15,,4.0,,,,,
20260821,402.5,P,29.8,32.35,28.45,5.0,,,,,
20260821,405.0,C,11.35,12.25,12.73,1.0,,,,,
20260821,405.0,P,31.75,34.05,,0.0,,,,,
20260821,407.5,C,10.5,11.7,,0.0,,,,,
20260821,407.5,P,33.45,35.75,,6.0,,,,,
20260821,410.0,C,9.85,10.55,10.6,48.0,0.3261167473498849,0.007209450702873948,-0.39856924777954283,0.36270049863476217,0.5091749043554319
20260821,410.0,P,35.3,37.6,34.2,8.0,-0.6782226240412406,-0.00731061669983002,-0.3553393872441717,0.360128705597198,0.5091749043554319
20260821,412.5,C,9.1,10.2,,0.0,0.312931019980191,0.007095815509950031,-0.39945226328898187,0.3643604910939846,0.5086897375562537
20260821,412.5,P,37.0,39.35,,0.0,-0.6916339767089463,-0.0072002147980849696,-0.35498616914808423,0.36059048656504444,0.5086897375562537
20260821,415.0,C,8.35,9.5,,2.0,0.29337802772912963,0.006908261008023324,-0.3558550527429194,0.3242818906778524,0.5082682623730611
20260821,415.0,P,39.2,41.6,,1.0,-0.7120783002356876,-0.007010515125786791,-0.31376419505357944,0.3219248075305501,0.5082682623730611
20260821,417.5,C,7.85,8.45,,2.0,0.2812337266755596,0.006754281198993487,-0.3566526104745762,0.32571859938048675,0.5079087324654459
20260821,417.5,P,41.1,43.5,,0.0,-0.7237955891119245,-0.006865586882063875,-0.3142065597514332,0.3229845638579718,0.5079087324654459
20260821,420.0,C,7.3,7.7,7.75,53.0,0.2628394375138053,0.006538614462807696,-0.35692033347033014,0.32688001156663127,0.5076094296010034
20260821,420.0,P,42.45,45.2,41.7,38.0,-0.7425110587494518,-0.006655571760356265,-0.3134142368748485,0.3228263964563354,0.5076094296010034
20260821,422.5,C,6.7,7.25,7.55,22.0,0.24722429608134647,0.006348899544485335,-0.35747770789718736,0.3281631811291037,0.5073686624279458
20260821,422.5,P,44.2,46.95,,30.0,-0.7584518004936399,-0.0064702781948294315,-0.3120800125856036,0.3223633049105814,0.5073686624279458
20260821,425.0,C,6.2,6.7,7.25,11269.0,0.2341901849270255,0.006174946799633619,-0.30664947144103305,0.30169416063698673,0.5071847649096314
20260821,425.0,P,46.45,48.95,,0.0,-0.7732183461008942,-0.006279046046310292,-0.2647616066904419,0.28034471087175916,0.5071847649096314
20260821,427.5,C,5.7,6.2,,0.0,0.2198730611671178,0.005944993334291454,-0.3070687144606916,0.28174527841689745,0.5070560954997984
20260821,427.5,P,48.25,51.45,,0.0,-0.786324491860643,-0.006073415296678323,-0.264671161065408,0.2773717306403043,0.5070560954997984
20260828,340.0,C,49.4,52.9,,0.0,0.8029709089306688,0.004608810831411578,-0.31134954381773383,0.3229134981910917,0.5394118595371458
20260828,340.0,P,6.75,7.85,7.4,21.0,-0.19800069476855273,-0.004634524792001293,-0.27233090304330254,0.32314626747900643,0.5394118595371458
20260828,345.0,C,45.7,49.05,,0.0,0.7744809669797552,0.005036759345664398,-0.3108160867640848,0.3257229288793937,0.5353304420379799
20260828,345.0,P,7.7,8.9,8.1,4.0,-0.2263516425479604,-0.005062131859081969,-0.2716117624161445,0.3263288033227596,0.5353304420379799
20260828,350.0,C,41.9,45.35,,0.0,0.7506856703817691,0.005357796652211911,-0.3469915688009877,0.37090555987834506,0.5316167290217501
20260828,350.0,P,9.1,10.0,9.5,59.0,-0.25178664202933654,-0.005405467687783897,-0.3071010005392889,0.3710777442564286,0.5316167290217501
20260828,355.0,C,38.55,41.85,,0.0,0.7177759181388869,0.005738686483844537,-0.34661313255288206,0.3740814038258833,0.5282542725449865
20260828,355.0,P,10.15,11.5,10.0,22.0,-0.2816825166302649,-0.005749998692271501,-0.30673072960906644,0.37461120473367693,0.5282542725449865
20260828,360.0,C,35.3,38.45,,0.0,0.6875657952160305,0.00606731772132555,-0.37337874557183426,0.4089419438599222,0.5252273866997075
20260828,360.0,P,11.95,13.0,12.75,52.0,-0.310320548648828,-0.0060720513890053975,-0.3228024473779296,0.409400701693599,0.5252273866997075
20260828,365.0,C,31.85,35.25,,0.0,0.6551151748628806,0.006323120511761614,-0.3735938826808365,0.4126173324137099,0.5225216228955054
20260828,365.0,P,13.85,15.4,14.0,7.0,-0.344655904584938,-0.006348683716610088,-0.3330349240749424,0.41306293513001613,0.5225216228955054
20260828,370.0,C,28.9,32.2,33.8,10.0,0.6223017849280565,0.006579928977295617,-0.3739808475147548,0.4163103670479309,0.5201232451326098
20260828,370.0,P,15.5,17.0,16.14,15.0,-0.3795547451146701,-0.006629334425399514,-0.3335133225978524,0.4172447273774047,0.5201232451326098
20260828,375.0,C,26.6,28.35,28.88,17.0,0.5883032951201987,0.006739044629261467,-0.38876079106459827,0.4371262646228047,0.5180177584462207
20260828,375.0,P,17.35,20.0,18.5,19.0,-0.4131559428358237,-0.006789005949255528,-0.34755975693464336,0.4372767881415882,0.5180177584462207
20260828,380.0,C,23.95,26.5,26.05,5.0,0.5539101214281189,0.006882731801788946,-0.38942917413712763,0.4409594593173729,0.516188409974112
20260828,380.0,P,19.7,22.15,20.0,17.0,-0.44783625837827457,-0.006939502014001358,-0.3480037421280926,0.44101039510894324,0.516188409974112
20260828,385.0,C,21.45,23.9,25.45,5.0,,,,,
20260828,385.0,P,22.05,24.45,23.8,7.0,-0.4825836636107773,-0.007017450754680887,-0.34864722179641205,0.44461865750302465,0.5146157787551522
20260828,390.0,C,19.5,21.2,22.8,314.0,0.48571574187375666,0.006968710011925668,-0.39119485833962386,0.4486324707063005,0.5132787767326904
20260828,390.0,P,24.65,27.8,24.9,13.0,-0.5173417192175909,-0.007042039305305982,-0.3491537775882243,0.44805615664568066,0.5132787767326904
20260828,395.0,C,16.75,19.35,,0.0,,,,,
20260828,395.0,P,27.55,30.5,28.41,2.0,,,,,
20260828,400.0,C,15.25,17.05,17.7,14.0,,,,,
20260828,400.0,P,30.35,33.45,,6.0,,,,,
20260828,405.0,C,13.1,15.45,14.2,4.0,,,,,
20260828,405.0,P,33.85,36.7,32.75,3.0,,,,,
20260828,410.0,C,11.55,13.75,13.5,3.0,,,,,
20260828,410.0,P,37.6,40.2,,1.0,,,,,
20260828,415.0,C,10.5,12.2,11.4,1.0,,,,,
20260828,415.0,P,40.4,43.55,,0.0,,,,,
20260828,420.0,C,9.0,10.55,10.9,6.0,,,,,
20260828,420.0,P,44.5,47.55,,5.0,,,,,
20260828,425.0,C,8.05,9.55,9.75,3.0,,,,,
20260828,425.0,P,47.95,51.65,,0.0,,,,,
