date,NQZ31,NQZ30,NQZ29,NQM29,NQZ28,NQM28,NQH28,NQZ27,NQU27,NQM27,NQH27,NQZ26,NQU26
2026-08-20,33450.25,33447.75,32545.75,32062.0,31602.5,31162.0,,30695.25,30452.0,30259.0,29932.25,29592.0,29317.25
2026-08-21,33541.25,33538.75,32636.75,32153.0,31693.5,31253.0,,30786.25,30543.0,30350.0,29935.0,29673.5,29375.25
2026-08-23,33541.25,33538.75,32636.75,32153.0,31693.5,31253.0,,30786.25,30543.0,30350.0,30004.25,29678.75,29387.75
2026-08-24,33189.5,33187.0,32285.0,31801.25,31341.75,30901.25,,30434.5,30191.25,30007.0,29780.0,29403.75,29131.25
2026-08-25,33369.5,33367.0,32465.0,31981.25,31521.75,31081.25,,30614.5,30371.25,30187.0,29899.5,29574.0,29283.5
2026-08-26,33408.75,33406.25,32504.25,32020.5,31561.0,31120.5,,30653.75,30410.5,30226.25,29909.25,29635.5,29343.0
2026-08-28,33837.0,33834.5,32932.5,32448.75,31989.25,31548.75,,31082.0,30838.75,30654.5,30309.0,29890.0,29595.5
2026-09-04,33677.25,33670.0,32772.25,32283.75,31824.25,31388.5,,30917.0,30691.75,30512.75,30192.0,29819.0,29523.0
2026-09-05,33677.25,33670.0,32772.25,32283.75,31824.25,31388.5,,30917.0,30691.75,30512.75,30195.25,29860.25,29565.25
2026-09-06,33677.25,33670.0,32772.25,32283.75,31824.25,31388.5,,30917.0,30691.75,30512.75,30195.25,29860.25,29565.25
2026-09-07,33677.25,33670.0,32772.25,32283.75,31824.25,31388.5,,30917.0,30691.75,30512.75,30195.25,29908.0,29603.5
2026-09-08,33696.25,33689.0,32791.25,32302.75,31843.25,31407.5,,30936.0,30710.75,30531.75,30254.0,29820.75,29524.0
2026-09-09,33617.25,33610.0,32712.25,32223.75,31764.25,31328.5,,30857.0,30631.75,30452.75,30102.75,29755.0,29459.75
2026-09-10,33299.75,33292.5,32394.75,31906.25,31446.75,31011.0,,30539.5,30314.25,30135.25,29799.25,29432.0,29143.25
2026-09-11,33536.0,33528.75,32631.0,32142.5,31683.0,31247.25,,30775.75,30550.5,30371.5,30055.0,29691.0,29391.75
2026-09-12,33536.0,33528.75,32631.0,32142.5,31683.0,31247.25,,30775.75,30550.5,30371.5,30030.25,29684.25,29387.0
2026-09-13,33536.0,33528.75,32631.0,32142.5,31683.0,31247.25,,30775.75,30550.5,30371.5,30030.25,29684.25,29387.0
2026-09-14,33331.0,33322.5,32424.75,31936.25,31476.75,31041.0,,30569.5,30344.25,30075.0,29890.0,29489.75,29193.75
2026-09-15,33127.25,33118.75,32221.0,31732.5,31273.0,30837.25,,30365.75,30140.5,30150.0,29629.75,29277.0,28987.0
2026-09-16,33118.25,33109.75,32212.0,31723.5,31264.0,30828.25,,30356.75,30131.5,29953.75,29606.25,29263.75,28973.0
2026-09-17,33646.25,33637.75,32740.0,32251.5,31792.0,31356.25,31230.5,30884.75,30659.5,30481.75,30062.25,29720.5,29435.75
2026-09-18,33793.75,33785.25,32887.5,32399.0,31939.5,31503.75,31404.75,31032.25,30807.0,30629.25,30309.25,29955.0,29512.0
2026-09-19,33793.75,33785.25,32887.5,32399.0,31939.5,31503.75,31404.75,31032.25,30807.0,30629.25,30272.25,29917.25,
2026-09-20,33793.75,33785.25,32887.5,32399.0,31939.5,31503.75,31404.75,31032.25,30807.0,30629.25,30272.25,29917.25,
2026-09-21,34706.25,34697.75,33800.0,33311.5,32852.0,32416.25,32317.25,31944.75,31719.5,31541.75,31141.75,30781.0,
2026-09-22,38477.5,37077.5,35677.5,34903.5,34129.25,33355.5,32968.25,32581.25,32194.25,31808.25,31376.0,31002.0,
2026-09-23,38199.25,36799.25,35399.25,34625.25,33851.0,33077.25,32690.0,32303.0,31916.0,31530.0,31122.5,30776.0,
2026-09-24,38215.25,36815.25,35415.25,34641.25,33867.0,33093.25,32706.0,32319.0,31932.0,31546.0,31047.0,30736.25,
2026-09-25,38291.5,36891.5,35491.5,34717.5,33943.25,33169.5,32782.25,32395.25,32008.25,31622.25,31283.5,30921.75,
